Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,DebtToIncomeRatio,LoanPurpose,SavingsAccountBalance,CheckingAccountBalance,MonthlyIncome,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,LoanApproved
23,48067,546,employed,master,0,25348,36,married,4,mortgage,332,0.272212778,home,14752,1561,4005.583333,7,48734,2.37348,2.27102859,977.3905881,0
24,40523,523,employed,bachelor,1,28006,24,married,2,rent,568,0.513311262,debt consolidation,4268,6979,3376.916667,3,2831,2.41506,2.36396759,1475.676114,0
38,83220,611,employed,high school,15,37568,12,married,0,mortgage,1212,0.320759059,home,6550,1110,6935.0,2,199510,1.97068,1.9763361400000001,3475.839771,0
32,53414,587,employed,bachelor,10,59363,120,married,0,mortgage,617,0.400807796,home,288,2826,4451.166667,7,36564,3.2086300000000003,3.60958528,1838.095551,0
28,64082,545,employed,high school,7,8521,36,widowed,0,own,821,0.059585013,auto,5962,983,5340.166667,5,57086,2.21021,2.3392538099999998,331.5914002,0
25,25902,570,employed,associate,2,9529,36,divorced,0,rent,472,0.534858269,debt consolidation,2450,2397,2158.5,7,407311,2.09529,2.23047402,365.4208053,0
44,39546,545,employed,bachelor,21,24246,48,divorced,0,rent,394,0.880946676,home,374,1567,3295.5,2,598934,2.46746,2.960952,867.5034752,0
37,47665,547,employed,master,9,17784,60,married,0,own,247,0.346477149,debt consolidation,4264,630,3972.083333,8,37262,2.49284,2.35342916,506.8135502,0
45,42398,523,employed,associate,27,27307,60,married,1,own,347,0.068369233,debt consolidation,10382,2279,3533.166667,4,10798,2.70807,2.4858287900000002,799.2294896,0
43,60958,601,employed,high school,21,30241,84,married,2,rent,385,0.260877301,auto,4363,5380,5079.833333,5,60924,2.54741,3.00666713,866.0365222,0
19,48996,601,employed,associate,0,20591,24,married,1,other,218,0.174997591,education,1917,2996,4083.0,7,28183,1.95091,2.2271725,1070.988111,0
42,17091,587,employed,bachelor,20,16282,48,single,2,mortgage,782,0.365146114,auto,876,909,1424.25,4,6165,2.17782,2.30044462,521.9017235,0
18,28081,547,employed,associate,0,29137,48,divorced,2,mortgage,761,0.446665144,education,7527,520,2340.083333,4,47341,2.50637,2.77243603,1010.896721,0
39,54613,541,unemployed,associate,13,46352,24,married,3,own,343,0.284996842,home,1692,1375,4551.083333,4,11411,2.5085200000000003,2.43461581,2458.696663,0
42,36656,455,employed,high school,18,14798,36,married,1,rent,448,0.349209658,home,20152,1697,3054.666667,7,1363,2.7229799999999997,2.7222394100000002,605.8984885,0
54,31960,514,employed,bachelor,27,12838,36,married,0,mortgage,315,0.24948967,home,3228,782,2663.333333,7,5230,2.40838,2.5065899600000003,510.8842001,0
50,34402,504,employed,high school,27,16368,36,single,3,rent,210,0.431162169,home,3580,593,2866.833333,6,55103,2.49368,2.58136038,657.8527314,0
37,84123,558,employed,associate,11,29285,48,single,0,own,820,0.451967923,auto,3569,3593,7010.25,4,1376,2.45285,2.34277313,945.5035216,0
19,15000,521,employed,high school,0,34221,36,widowed,3,mortgage,265,0.536389545,auto,2683,4651,1250.0,5,45518,2.58721,2.7446485999999997,1405.289656,0
24,30684,608,employed,bachelor,1,20517,48,widowed,2,rent,765,0.22563283,other,4427,2207,2557.0,3,31929,2.11517,2.29896848,657.4840944,0
49,33875,583,employed,bachelor,25,29295,24,married,3,rent,402,0.19113577,other,1159,373,2822.916667,2,3394,2.1279500000000002,2.38595314,1546.805709,0
35,47054,615,employed,high school,15,17448,12,married,3,own,445,0.13215986,home,2507,1223,3921.166667,5,10355,1.74948,1.7202446299999998,1593.017304,0
64,78385,627,employed,bachelor,39,36725,84,single,0,mortgage,232,0.787735623,auto,15337,3597,6532.083333,8,274761,2.48225,2.73002314,984.2528206,0
34,66671,598,employed,master,14,32877,60,single,0,rent,1269,0.334139005,auto,694,533,5555.916667,3,55606,2.38877,2.26468275,920.1591894,0
54,19360,557,self-employed,associate,30,40796,72,married,2,mortgage,640,0.311558958,auto,3866,5928,1613.333333,4,43973,2.77296,2.6341359800000004,1132.744649,0
54,61301,589,employed,bachelor,32,31328,84,married,2,other,977,0.097006095,auto,3185,825,5108.416667,1,69197,2.61828,2.54025795,801.0445046,0
48,79591,623,employed,bachelor,30,17976,48,divorced,4,own,775,0.534087651,debt consolidation,31865,527,6632.583333,3,112639,2.01476,2.1882370300000002,565.2059208,0
26,40077,530,employed,high school,2,7531,48,married,3,mortgage,347,0.190084656,auto,1520,1774,3339.75,6,94575,2.37531,2.4382552399999997,247.1198566,0
29,22756,568,employed,associate,6,21973,36,married,0,rent,302,0.150255915,education,901,2941,1896.333333,6,214303,2.22973,2.47460801,870.6944972,0
62,71729,522,employed,associate,40,31200,36,divorced,1,own,532,0.286469315,debt consolidation,16093,306,5977.416667,10,2584,2.5519999999999996,2.46219486,1234.276759,0
18,16158,583,employed,bachelor,0,33277,60,married,2,mortgage,631,0.180095041,auto,14834,198,1346.5,6,4869,2.46777,2.58343022,993.0672814,0
35,67123,570,employed,bachelor,14,25746,48,single,1,rent,440,0.24868244,debt consolidation,2825,668,5593.583333,3,21121,2.35746,2.33421968,830.0316543,0
50,90324,581,employed,high school,22,22468,60,married,4,mortgage,271,0.181989555,auto,6213,4256,7527.0,5,10670,2.3696800000000002,2.43954956,651.5267138,0
54,62707,636,employed,high school,33,24214,96,married,2,rent,767,0.248993111,education,2863,1546,5225.583333,6,7772,2.41214,2.17904983,534.7213562,0
51,54149,626,employed,master,32,30438,60,married,1,own,597,0.145558274,other,1562,269,4512.416667,7,38539,2.22438,2.14640656,831.4158487,0
29,31473,527,employed,bachelor,4,21217,36,married,0,other,221,0.226497655,home,1452,883,2622.75,7,83865,2.42717,2.32559726,824.1374841,0
37,30209,530,employed,associate,13,29777,96,divorced,0,own,554,0.177449485,home,218,1080,2517.416667,5,100775,2.99777,3.2208222399999995,867.449339,0
51,16455,528,employed,high school,27,34742,36,married,0,own,353,0.288124017,debt consolidation,7906,980,1371.25,4,62648,2.5574200000000005,2.7735514,1432.094057,0
34,31763,530,employed,high school,12,24147,36,married,1,mortgage,281,0.597695078,auto,14930,4507,2646.916667,2,17716,2.44147,2.06888538,905.8868271,0
47,33277,652,employed,associate,26,59973,36,married,1,rent,966,0.176543689,education,4741,921,2773.083333,2,6551,2.18973,2.18806027,2286.693306,0
24,101122,533,employed,high school,1,66350,60,divorced,2,rent,497,0.174780774,debt consolidation,1023,1381,8426.833333,2,314835,3.0485,3.20004575,2228.884784,0
30,32710,594,employed,high school,6,19954,12,married,0,other,366,0.038903959,auto,3169,2158,2725.833333,4,1503,1.87954,1.74032317,1823.720221,0
51,73459,617,employed,master,29,40596,96,single,1,mortgage,269,0.273569826,debt consolidation,6899,532,6121.583333,2,8654,2.67096,2.58875715,1005.329186,0
54,15000,656,employed,associate,32,26534,60,single,3,rent,399,0.22935701,debt consolidation,9383,1790,1250.0,3,171463,2.0353399999999997,1.96611833,697.9958144,0
45,23167,540,employed,high school,19,36272,48,divorced,0,own,689,0.330886489,home,9379,2712,1930.583333,5,71969,2.61272,2.74194214,1252.136298,0
23,41485,498,employed,high school,0,19068,12,divorced,1,other,494,0.326899846,debt consolidation,8388,2977,3457.083333,7,1522,2.35068,2.14224491,1779.361733,0
51,55942,671,employed,master,27,17652,48,single,0,rent,291,0.153375903,home,1050,473,4661.833333,4,22277,1.77152,1.93851889,531.3915265,0
45,25100,487,employed,associate,19,48592,36,married,3,other,733,0.155026408,home,1752,201,2091.666667,5,61128,2.90092,2.320736,1886.238485,0
38,32459,550,employed,bachelor,16,20654,60,married,2,rent,280,0.126106621,debt consolidation,1774,2027,2704.916667,4,33178,2.5065399999999998,2.7462308600000003,636.3961079,0
38,51627,628,employed,bachelor,14,25894,36,married,1,rent,389,0.423613102,home,3367,7573,4302.25,4,9253,1.9689400000000001,2.03203428,966.5455361,0
40,53202,469,employed,high school,17,19409,96,married,2,rent,518,0.175508433,auto,3420,1474,4433.5,8,2030,3.19909,3.38213262,587.8089929,0
29,28020,602,unemployed,associate,4,66136,12,married,1,other,307,0.051048356,education,2444,7171,2335.0,5,12747,2.30136,2.13308083,6168.67761,0
30,93220,581,employed,high school,8,19200,60,married,1,rent,223,0.579006725,education,1963,684,7768.333333,5,39226,2.3369999999999997,2.35713936,547.5787327,0
35,33319,607,employed,master,17,25882,48,divorced,0,own,242,0.408214271,auto,4518,426,2776.583333,4,5173,2.17382,1.98025379,784.8782464,0
33,82927,500,employed,associate,10,16651,48,married,5,other,637,0.11020955,home,3857,1329,6910.583333,5,8270,2.6165100000000003,2.9844413600000004,598.029973,0
55,15000,574,employed,master,32,24473,120,married,0,rent,413,0.518759025,other,6154,494,1250.0,4,99501,2.92473,3.2969705,699.4424971,0
36,45999,562,employed,high school,13,36934,48,single,1,rent,551,0.418797212,education,2296,3298,3833.25,4,6800,2.50934,2.4940546599999998,1223.400973,0
32,64220,577,employed,associate,12,15425,96,married,0,mortgage,610,0.479704028,auto,1661,1115,5351.666667,4,15015,2.61925,2.6976494200000003,393.3025734,0
46,87147,624,unemployed,high school,23,18571,72,single,3,own,1222,0.334321891,debt consolidation,3603,3890,7262.25,9,32030,2.21571,2.52495798,503.0981741,0
31,15953,531,self-employed,bachelor,6,10317,24,married,0,rent,503,0.064467274,debt consolidation,2569,559,1329.416667,4,8569,2.19817,2.45742474,548.4325581,0
35,38705,604,employed,bachelor,12,26770,72,married,1,rent,248,0.290851907,home,955,348,3225.416667,4,216649,2.3977,2.26785553,683.4507446,0
48,22115,614,employed,associate,28,17656,60,single,4,other,314,0.092219551,auto,6196,503,1842.916667,5,75639,2.15656,2.5477461200000002,523.1808309,0
52,84051,580,employed,high school,28,15325,96,married,5,mortgage,367,0.143461213,auto,4046,973,7004.25,3,118978,2.6032499999999996,2.7353293499999998,394.672037,0
49,18641,630,employed,high school,28,33191,96,divorced,1,mortgage,652,0.164068585,education,7731,3356,1553.416667,4,174827,2.53191,2.67532135,841.2808159,0
39,15000,570,employed,high school,14,10551,60,married,1,own,517,0.412460585,auto,477,867,1250.0,2,322695,2.30551,2.2687546100000002,295.5466385,0
26,26935,409,employed,high school,2,27782,36,single,3,own,630,0.253153983,debt consolidation,4369,1844,2244.583333,3,26677,3.08282,3.06120197,1188.721929,0
56,42911,550,employed,high school,33,21669,48,married,4,mortgage,312,0.082717561,education,880,2465,3575.916667,4,85028,2.41669,2.60239277,730.9120589,0
46,20776,623,employed,associate,24,26900,60,widowed,5,own,908,0.186780991,debt consolidation,1901,2317,1731.333333,5,23381,2.204,2.1789946700000002,739.7396494,0
50,74096,541,unemployed,bachelor,25,17928,48,married,0,own,392,0.265907781,education,8220,918,6174.666667,2,49230,2.42428,2.64714557,609.2488125,0
68,65506,638,employed,associate,44,13387,84,single,1,rent,628,0.653962889,auto,2738,551,5458.833333,5,81539,2.19387,2.4912058,338.0945156,0
41,32478,599,employed,high school,18,31543,36,divorced,1,rent,721,0.558798146,other,31613,5427,2706.5,8,252178,2.17043,2.1020031,1188.709083,0
44,69616,626,employed,associate,24,29213,48,divorced,0,rent,970,0.046388168,education,1644,1499,5801.333333,7,61046,2.11213,2.5345560000000003,974.2580275,0
29,60985,507,employed,bachelor,6,40294,36,divorced,2,rent,533,0.09753471,home,2471,768,5082.083333,8,132912,2.7179399999999996,2.65769047,1635.878711,0
39,121006,524,employed,associate,16,29227,36,single,3,mortgage,598,0.25159251,debt consolidation,12800,1180,10083.83333,7,26318,2.52227,2.57657298,1173.929623,0
45,24265,562,employed,bachelor,23,17336,84,single,3,own,725,0.105371551,auto,2828,1710,2022.083333,3,258032,2.61336,2.5592041500000002,445.3860817,0
35,42285,586,employed,bachelor,11,25761,36,married,0,own,117,0.079363402,other,2407,426,3523.75,7,7394,2.17761,2.6131320000000002,1039.729603,0
53,28838,644,employed,high school,35,22775,24,divorced,2,mortgage,413,0.495208683,debt consolidation,4950,832,2403.166667,5,2290,1.75775,1.72974498,1129.305355,0
51,40534,592,employed,high school,32,25755,72,divorced,1,rent,736,0.358480035,auto,6521,4241,3377.833333,4,471060,2.44755,2.56639665,704.2969936,0
40,32366,566,employed,high school,21,33659,12,single,4,mortgage,625,0.5447012,other,6321,2298,2697.166667,8,91848,2.15659,2.23558801,3156.061047,0
54,26424,542,employed,master,31,53427,60,married,4,mortgage,292,0.159201233,education,3156,2427,2202.0,10,7634,2.87427,2.92693564,1704.644689,0
18,94249,492,employed,bachelor,0,29582,60,widowed,2,mortgage,599,0.31144713,education,6976,494,7854.083333,7,14628,2.88582,3.2115937500000005,995.8789824,0
55,99572,515,employed,master,32,21038,72,divorced,2,own,265,0.518240403,home,7233,530,8297.666667,3,5423,2.78538,3.342456,680.0678141,0
55,25806,608,employed,high school,33,26757,72,single,2,mortgage,915,0.436407578,education,1654,1837,2150.5,8,63939,2.37757,2.5043730600000003,721.4762115,0
33,15000,590,employed,bachelor,10,20174,108,married,5,rent,303,0.309862831,other,5526,456,1250.0,6,10592,2.70174,2.2769692299999997,440.6675828,0
31,101761,550,employed,bachelor,7,67435,60,married,3,mortgage,540,0.131743874,home,4193,2660,8480.083333,3,174006,2.9743500000000003,2.8231286,2109.063366,0
60,70031,625,employed,bachelor,39,37995,72,divorced,0,rent,713,0.267487903,debt consolidation,874,1394,5835.916667,5,5847,2.40495,2.51236424,1026.362595,0
40,67732,611,employed,master,18,23833,96,married,2,own,739,0.260594662,home,1392,422,5644.333333,4,6557,2.53333,2.4589486899999997,569.6327951,0
36,15661,632,employed,master,12,22930,84,married,2,own,239,0.05047569,home,7918,2799,1305.083333,4,63170,2.3193,2.39544844,565.1566751,0
33,35006,456,employed,master,10,26129,108,divorced,4,mortgage,396,0.093769408,home,3867,343,2917.166667,5,221037,3.43129,3.0555385,712.4601884,0
18,41914,520,employed,associate,0,19045,12,single,2,mortgage,305,0.564870845,home,5034,2854,3492.833333,6,4740,2.24045,2.5819452399999996,1817.698723,0
50,82585,483,employed,master,26,44016,72,single,2,rent,406,0.12881486,debt consolidation,3073,735,6882.083333,9,66495,3.17516,3.20445064,1382.734875,0
40,30117,616,employed,high school,20,12622,48,married,4,own,394,0.368006995,other,1867,21035,2509.75,5,55517,1.9962199999999999,2.16549267,395.3088965,0
41,60518,522,employed,high school,19,34185,12,married,1,own,567,0.02179924,other,2981,2110,5043.166667,5,4542,2.38185,2.57454735,3261.465374,0
22,44308,491,employed,high school,0,46639,48,single,3,mortgage,376,0.096043654,other,4497,274,3692.333333,5,92688,2.9613899999999997,2.77464307,1618.709401,0
51,20468,508,self-employed,high school,28,20792,60,single,2,mortgage,187,0.17126982,education,692,582,1705.666667,5,67346,2.71792,2.8934051,659.1424148,0
32,16843,586,employed,master,8,26177,72,married,2,mortgage,354,0.19431473,auto,947,554,1403.583333,7,40390,2.48177,2.3830192,686.4615601,0
43,27975,609,employed,associate,21,26578,36,single,0,other,275,0.236882454,other,16164,166,2331.25,3,177315,2.07078,1.9071780699999998,975.2085411,0
40,96726,619,self-employed,associate,16,28378,120,married,3,mortgage,643,0.368371552,home,9076,1391,8060.5,1,47894,2.73878,3.00142652,748.3939894,0
58,32381,546,unemployed,high school,32,34294,24,married,3,mortgage,286,0.162746183,debt consolidation,6678,7288,2698.416667,5,4008,2.36294,2.73038706,1870.202765,0
23,15706,570,unemployed,master,0,29279,60,married,3,rent,556,0.140932168,education,4199,739,1308.833333,5,72217,2.49279,2.9691779400000002,941.7394791,0
42,32030,509,employed,associate,20,25956,60,single,2,mortgage,284,0.205335544,auto,2346,396,2669.166667,4,9630,2.76456,2.46028587,755.81149,0
41,69383,609,employed,master,19,53330,60,single,0,mortgage,627,0.289326094,other,4638,13765,5781.916667,7,9864,2.5383,2.6956277899999996,1627.05567,0
33,56521,540,employed,high school,11,13775,108,married,1,other,824,0.06817571,home,10121,7353,4710.083333,6,24619,2.88775,3.18094941,388.1543279,0
32,42576,515,employed,master,8,22414,36,divorced,0,rent,662,0.131553053,education,743,337,3548.0,4,384760,2.49914,2.29448821,866.99593,0
24,39733,520,employed,bachelor,2,10834,96,divorced,0,rent,303,0.142057926,home,5184,2691,3311.083333,5,134353,2.8583399999999997,2.63747613,271.839962,0
41,36673,606,employed,high school,18,13121,96,married,2,rent,315,0.190539429,home,2428,820,3056.083333,2,54012,2.45121,2.45437851,313.2093661,0
18,31457,580,unemployed,high school,0,28804,48,single,0,own,265,0.64897292,other,1333,1580,2621.416667,7,15243,2.3380400000000003,2.37969038,935.8321239,0
46,20783,631,self-employed,bachelor,24,46277,84,single,2,mortgage,556,0.153602289,debt consolidation,5812,474,1731.916667,5,432565,2.5577699999999997,2.80353774,1262.622426,0
37,54348,544,employed,bachelor,14,22597,36,single,2,mortgage,389,0.038473697,education,3530,2192,4529.0,5,61867,2.35597,2.40336682,886.9442824,0
34,34831,478,unemployed,master,12,24265,72,single,2,mortgage,260,0.355498807,debt consolidation,3633,4040,2902.583333,4,18566,3.00265,2.9518160599999996,722.4715649,0
32,98269,628,employed,bachelor,9,19580,120,married,1,mortgage,361,0.306484702,home,2433,825,8189.083333,3,175002,2.6058,2.64582237,465.7146654,0
59,30578,632,employed,high school,36,23762,12,married,1,other,693,0.421915181,education,25135,1512,2548.166667,2,91754,1.72762,1.5460274099999998,2149.882281,0
29,49415,495,employed,associate,9,18489,72,married,1,own,169,0.150759148,home,9774,396,4117.916667,4,27739,2.85989,3.2026867799999996,580.6061938,0
41,40358,619,employed,high school,16,10669,60,divorced,4,rent,367,0.460580097,auto,2366,529,3363.166667,9,59741,2.06169,2.24986695,297.6990773,0
37,37887,540,employed,doctorate,14,52949,24,single,4,rent,290,0.306562533,education,330,1180,3157.25,8,54497,2.57949,2.86795686,2924.658362,0
46,42864,597,employed,high school,23,20064,108,single,2,rent,451,0.169878967,education,3497,3896,3572.0,5,4179,2.6656400000000002,2.72507585,499.8527348,0
18,46558,596,employed,high school,0,24709,84,single,2,rent,235,0.262387863,other,1867,2908,3879.833333,2,196195,2.51709,2.62785396,645.7646018,0
43,56963,596,unemployed,associate,19,62684,36,married,4,own,723,0.078917251,home,3831,358,4746.916667,9,18958,2.4968399999999997,2.63241411,2536.413371,0
59,56047,584,employed,master,35,22224,72,single,0,rent,643,0.39086321,home,1551,904,4670.583333,9,132946,2.4522399999999998,2.40467559,585.7184373,0
32,43215,567,employed,high school,10,24633,60,single,2,mortgage,390,0.497141487,debt consolidation,4164,1372,3601.25,5,9223,2.46133,2.77508993,763.2711083,0
49,80442,514,employed,high school,27,32654,84,divorced,0,own,217,0.471246357,home,6758,1149,6703.5,3,74570,3.0065399999999998,2.83148452,896.9632368,0
41,44415,615,employed,bachelor,21,11353,84,married,2,rent,571,0.331516274,auto,2197,767,3701.25,5,3242,2.28853,2.5124099500000003,288.264429,0
26,57396,612,employed,bachelor,3,25951,36,divorced,0,mortgage,482,0.795162329,debt consolidation,2718,527,4783.0,4,3231,2.0495099999999997,1.9463222999999998,957.3491654,0
44,78423,596,employed,bachelor,18,18600,48,married,1,mortgage,593,0.372391104,debt consolidation,1245,209,6535.25,3,51929,2.156,2.00677423,566.6762819,0
33,34803,608,employed,associate,10,19709,72,married,0,mortgage,564,0.233116828,debt consolidation,2688,237,2900.25,5,119852,2.30709,2.76324529,563.1787353,0
40,35520,551,employed,bachelor,17,46577,84,married,1,mortgage,833,0.137579441,auto,4409,744,2960.0,7,8170,2.9607699999999997,2.9229677599999997,1307.733988,0
40,42259,578,employed,associate,16,26117,48,single,3,rent,896,0.436593866,home,8516,2494,3521.583333,6,65936,2.32117,2.42234577,854.6917226,0
37,58433,584,employed,associate,15,17713,12,married,3,mortgage,195,0.174663734,other,1303,755,4869.416667,4,4380,1.90713,1.9741803299999998,1638.646955,0
39,25855,476,employed,high school,16,38041,36,single,1,rent,612,0.416129253,debt consolidation,7022,4179,2154.583333,3,213226,2.85041,3.0750893899999996,1630.585625,0
80,48501,676,employed,associate,55,66707,72,single,4,mortgage,404,0.243448624,education,2282,895,4041.75,6,8613,2.4370700000000003,2.55256331,1818.473694,0
43,18167,534,employed,associate,18,26829,60,married,0,own,169,0.164616952,debt consolidation,18657,2666,1513.916667,5,145069,2.64829,2.41744713,774.5351165,0
38,33753,608,employed,high school,15,16528,120,single,0,other,441,0.234580017,home,1894,1590,2812.75,7,13492,2.67528,2.84608598,417.0369213,0
31,56557,552,employed,bachelor,8,26354,48,single,4,mortgage,403,0.502085414,home,457,467,4713.083333,1,4984,2.45354,2.31340054,846.6205587,0
31,34233,599,employed,associate,5,26572,60,widowed,0,other,189,0.393475912,auto,987,95,2852.75,3,4017,2.32072,2.29287846,747.9903768,0
52,36676,573,employed,high school,31,16330,12,single,0,rent,341,0.118448512,education,5425,5827,3056.333333,1,19078,1.9483000000000001,2.10378458,1520.844553,0
31,37456,466,employed,associate,8,21642,60,divorced,2,mortgage,703,0.249409971,other,11122,1731,3121.333333,5,6388,2.93642,3.29502017,739.910723,0
37,64199,518,self-employed,bachelor,12,23712,36,married,4,mortgage,371,0.281238317,home,1010,490,5349.916667,3,200739,2.49712,2.83476381,985.2721884,0
34,17774,583,employed,bachelor,10,20039,48,single,1,rent,244,0.17691542,auto,1791,614,1481.166667,6,253177,2.2353899999999998,2.4541006000000003,659.3160233,0
52,86111,562,employed,bachelor,28,27618,96,married,0,own,661,0.062991271,home,678,2072,7175.916667,5,183811,2.8161799999999997,3.18764889,798.0517512,0
25,62204,380,employed,high school,1,14467,120,married,1,rent,243,0.580347636,debt consolidation,2205,432,5183.666667,9,189158,3.79467,4.19029068,513.5265511,0
35,83551,599,employed,bachelor,15,13269,108,single,0,mortgage,539,0.083237568,auto,4698,4341,6962.583333,3,31150,2.5876900000000003,2.79766108,337.3491783,0
24,21210,572,employed,master,3,23434,60,married,3,mortgage,385,0.139674101,home,519,446,1767.5,4,21146,2.42434,2.5191403899999996,690.451001,0
50,67392,591,employed,bachelor,28,67808,60,divorced,0,rent,412,0.352124729,auto,2524,1381,5616.0,9,20967,2.77308,2.9004768399999996,2152.549577,0
45,54448,475,employed,associate,25,9605,72,married,3,rent,318,0.265835671,home,2956,185,4537.333333,5,3378,2.87105,2.89519327,282.5000804,0
36,24745,601,employed,associate,10,21534,84,divorced,3,rent,202,0.106318149,home,4430,1846,2062.083333,4,156901,2.46034,2.11868549,493.6954381,0
41,64011,535,employed,high school,19,17773,48,married,3,rent,468,0.447200839,home,1022,357,5334.25,3,113702,2.45273,2.6014239200000002,599.4000846,0
59,25947,582,employed,bachelor,36,15868,48,married,2,rent,689,0.133514912,auto,1968,853,2162.25,5,103401,2.19868,2.4470657300000003,521.4633672,0
39,33190,491,employed,high school,13,24345,36,married,1,rent,350,0.367921953,debt consolidation,3468,2495,2765.833333,2,75729,2.6384499999999997,2.5243212799999997,971.087263,0
58,70782,557,self-employed,high school,37,20269,36,married,0,own,434,0.211891535,education,4532,1402,5898.5,2,18188,2.26769,2.53428091,809.5713806,0
44,48448,556,employed,master,22,32275,48,married,5,rent,1186,0.543263775,home,1748,1617,4037.333333,3,171487,2.49275,2.4542842,1061.933444,0
37,97756,584,employed,high school,16,50387,36,single,2,mortgage,220,0.377578261,auto,421,786,8146.333333,9,183103,2.4338699999999998,2.19506342,1923.015798,0
18,33605,575,employed,bachelor,0,21523,24,married,2,own,563,0.381502547,home,2664,1278,2800.416667,6,1148,2.09023,2.35225549,1132.822221,0
37,25710,536,unemployed,high school,14,33787,36,married,0,own,237,0.092630885,home,993,555,2142.5,5,104190,2.5078699999999996,3.0094440000000002,1436.05967,0
27,22067,565,self-employed,master,1,26047,48,single,2,mortgage,562,0.366819443,auto,13224,713,1838.916667,1,14378,2.38547,2.6269578300000003,882.1897337,0
26,39769,598,employed,doctorate,2,24577,48,married,2,mortgage,230,0.456554742,auto,4570,126,3314.083333,4,4789,2.20577,1.9670532600000001,743.5796001,0
44,32312,623,employed,bachelor,23,29676,60,married,0,mortgage,539,0.328790375,home,674,4526,2692.666667,3,10575,2.23176,2.48106969,867.739461,0
43,32420,507,employed,associate,20,45869,60,married,2,mortgage,490,0.436752607,debt consolidation,1847,398,2701.666667,2,109735,2.97369,2.88929818,1452.980784,0
40,53045,527,employed,high school,17,45197,60,married,2,mortgage,590,0.182585413,auto,4441,779,4420.416667,7,167341,2.86697,2.9988186500000005,1461.948488,0
18,48180,587,employed,master,0,23152,48,married,2,other,419,0.191503914,home,2170,1686,4015.0,3,2861,2.24652,2.28203911,739.7792504,0
41,58728,611,employed,high school,18,32731,96,single,1,mortgage,447,0.68892685,home,387,1188,4894.0,6,156068,2.6223099999999997,2.7693966899999998,850.5326255,0
53,51896,632,employed,high school,33,19883,120,married,1,mortgage,349,0.443167954,debt consolidation,58690,812,4324.666667,7,96312,2.5888299999999997,2.60785608,467.5293193,0
32,62485,584,employed,bachelor,13,62237,12,married,1,rent,377,0.15345135,debt consolidation,5124,1715,5207.083333,4,129113,2.35237,2.35397105,5871.25091,0
