Age,AnnualIncome,CreditScore,EmploymentStatus,EducationLevel,Experience,LoanAmount,LoanDuration,MaritalStatus,NumberOfDependents,HomeOwnershipStatus,MonthlyDebtPayments,CreditCardUtilizationRate,NumberOfOpenCreditLines,NumberOfCreditInquiries,DebtToIncomeRatio,BankruptcyHistory,LoanPurpose,PreviousLoanDefaults,PaymentHistory,LengthOfCreditHistory,SavingsAccountBalance,CheckingAccountBalance,TotalAssets,TotalLiabilities,MonthlyIncome,UtilityBillsPaymentHistory,JobTenure,NetWorth,BaseInterestRate,InterestRate,MonthlyLoanPayment,TotalDebtToIncomeRatio,RiskScore,LoanApproved
30,20736,624,employed,associate,12,14723,60,single,3,rent,176,0.263732904,1,4,0.140946791,0,debt consolidation,0,26,1,6822,913,112766,45894,1728.0,0.896573274,1,66872,0.207723,0.1661784,362.8859261,0.311855281,51.0,0
37,101373,617,employed,bachelor,13,50458,48,divorced,0,mortgage,821,0.237641454,4,0,0.327424274,0,home,0,18,20,3980,419,12515,6362,8447.75,0.916387252,8,6153,0.236958,0.24360831,1655.104959,0.293108219,50.0,0
23,48067,546,employed,master,0,25348,36,married,4,mortgage,332,0.245292918,3,0,0.272212778,0,home,1,23,1,14752,1561,56610,7876,4005.583333,0.876460418,7,48734,0.237348,0.227102859,977.3905881,0.326891361,63.0,0
24,40523,523,employed,bachelor,1,28006,24,married,2,rent,568,0.285730011,3,0,0.513311262,0,debt consolidation,0,24,17,4268,6979,27107,24276,3376.916667,0.83774904,3,2831,0.241506,0.236396759,1475.676114,0.605189975,59.0,0
38,83220,611,employed,high school,15,37568,12,married,0,mortgage,1212,0.039732939,0,0,0.320759059,0,home,0,24,18,6550,1110,208787,9277,6935.0,0.757182289,2,199510,0.197068,0.197633614,3475.839771,0.675968244,45.0,0
32,53414,587,employed,bachelor,10,59363,120,married,0,mortgage,617,0.202416829,5,2,0.400807796,0,home,0,24,8,288,2826,68207,31643,4451.166667,0.929421349,7,36564,0.320863,0.360958528,1838.095551,0.551562261,57.0,0
28,64082,545,employed,high school,7,8521,36,widowed,0,own,821,0.288548905,5,1,0.059585013,1,auto,0,21,24,5962,983,70407,13321,5340.166667,0.865130718,5,57086,0.221021,0.233925381,331.5914002,0.21583435,60.0,0
25,25902,570,employed,associate,2,9529,36,divorced,0,rent,472,0.456891549,7,3,0.534858269,1,debt consolidation,0,16,19,2450,2397,414875,7564,2158.5,0.759357501,7,407311,0.209529,0.223047402,365.4208053,0.387964237,67.0,0
44,39546,545,employed,bachelor,21,24246,48,divorced,0,rent,394,0.276509095,5,1,0.880946676,0,home,0,17,23,374,1567,602165,3231,3295.5,0.93147618,2,598934,0.246746,0.2960952,867.5034752,0.382795775,51.0,0
37,47665,547,employed,master,9,17784,60,married,0,own,247,0.028121184,3,0,0.346477149,0,debt consolidation,1,22,4,4264,630,61616,24354,3972.083333,0.804828058,8,37262,0.249284,0.235342916,506.8135502,0.189777879,63.0,0
45,42398,523,employed,associate,27,27307,60,married,1,own,347,0.422319418,3,0,0.068369233,0,debt consolidation,1,20,21,10382,2279,53679,42881,3533.166667,0.907124975,4,10798,0.270807,0.248582879,799.2294896,0.324419875,58.0,0
43,60958,601,employed,high school,21,30241,84,married,2,rent,385,0.580744668,4,1,0.260877301,1,auto,0,32,24,4363,5380,114756,53832,5079.833333,0.60873773,5,60924,0.254741,0.300666713,866.0365222,0.246275112,60.0,0
19,48996,601,employed,associate,0,20591,24,married,1,other,218,0.643756367,4,0,0.174997591,0,education,0,18,27,1917,2996,34552,6369,4083.0,0.930271868,7,28183,0.195091,0.22271725,1070.988111,0.315696329,50.0,0
42,17091,587,employed,bachelor,20,16282,48,single,2,mortgage,782,0.655802405,1,0,0.365146114,0,auto,0,19,5,876,909,44179,73968,1424.25,0.795273174,4,6165,0.217782,0.230044462,521.9017235,0.915500596,60.0,0
18,28081,547,employed,associate,0,29137,48,divorced,2,mortgage,761,0.448457072,4,0,0.446665144,0,education,0,29,1,7527,520,107494,60153,2340.083333,0.879221559,4,47341,0.250637,0.277243603,1010.896721,0.757193856,63.0,0
39,54613,541,unemployed,associate,13,46352,24,married,3,own,343,0.161937589,5,1,0.284996842,0,home,0,15,2,1692,1375,19958,8547,4551.083333,0.944804991,4,11411,0.250852,0.243461581,2458.696663,0.615610934,58.0,0
42,36656,455,employed,high school,18,14798,36,married,1,rent,448,0.132891938,5,0,0.349209658,0,home,0,16,18,20152,1697,31742,149631,3054.666667,0.921738949,7,1363,0.272298,0.272223941,605.8984885,0.3450126,54.0,0
54,31960,514,employed,bachelor,27,12838,36,married,0,mortgage,315,0.580537297,5,1,0.24948967,0,home,1,17,20,3228,782,18086,67292,2663.333333,0.648968744,7,5230,0.240838,0.250658996,510.8842001,0.310094193,60.0,0
50,34402,504,employed,high school,27,16368,36,single,3,rent,210,0.342362392,4,1,0.431162169,0,home,0,23,18,3580,593,72186,17083,2866.833333,0.77327785,6,55103,0.249368,0.258136038,657.8527314,0.302721725,55.0,0
37,84123,558,employed,associate,11,29285,48,single,0,own,820,0.180079641,6,1,0.451967923,0,auto,0,24,19,3569,3593,39206,48744,7010.25,0.870556126,4,1376,0.245285,0.234277313,945.5035216,0.251846014,54.0,0
19,15000,521,employed,high school,0,34221,36,widowed,3,mortgage,265,0.120571004,5,1,0.536389545,0,auto,0,25,20,2683,4651,70833,25315,1250.0,0.541215167,5,45518,0.258721,0.27446486,1405.289656,1.336231725,59.0,0
24,30684,608,employed,bachelor,1,20517,48,widowed,2,rent,765,0.205219774,7,1,0.22563283,0,other,0,18,1,4427,2207,41423,9494,2557.0,0.884114599,3,31929,0.211517,0.229896848,657.4840944,0.556309775,54.0,0
49,33875,583,employed,bachelor,25,29295,24,married,3,rent,402,0.191785385,3,0,0.19113577,0,other,0,25,17,1159,373,26323,26645,2822.916667,0.575686634,2,3394,0.212795,0.238595314,1546.805709,0.690351838,50.0,0
35,47054,615,employed,high school,15,17448,12,married,3,own,445,0.21364397,5,1,0.13215986,0,home,1,25,23,2507,1223,40496,76415,3921.166667,0.768885462,5,10355,0.174948,0.172024463,1593.017304,0.519747687,54.0,0
64,78385,627,employed,bachelor,39,36725,84,single,0,mortgage,232,0.451488433,2,1,0.787735623,0,auto,0,19,14,15337,3597,315604,40843,6532.083333,0.866646799,8,274761,0.248225,0.273002314,984.2528206,0.18619677,50.0,0
34,66671,598,employed,master,14,32877,60,single,0,rent,1269,0.480698826,5,1,0.334139005,0,auto,0,21,2,694,533,61436,5830,5555.916667,0.874418856,3,55606,0.238877,0.226468275,920.1591894,0.394023043,57.0,0
54,19360,557,self-employed,associate,30,40796,72,married,2,mortgage,640,0.73777427,0,0,0.311558958,0,auto,0,23,21,3866,5928,51743,7770,1613.333333,0.76383168,4,43973,0.277296,0.263413598,1132.744649,1.098808667,61.0,0
54,61301,589,employed,bachelor,32,31328,84,married,2,other,977,0.042908833,3,3,0.097006095,0,auto,0,23,25,3185,825,75743,6546,5108.416667,0.923299406,1,69197,0.261828,0.254025795,801.0445046,0.348061762,47.0,0
48,79591,623,employed,bachelor,30,17976,48,divorced,4,own,775,0.105392729,0,0,0.534087651,0,debt consolidation,1,26,4,31865,527,131226,18587,6632.583333,0.94878373,3,112639,0.201476,0.218823703,565.2059208,0.20206394,59.0,0
26,40077,530,employed,high school,2,7531,48,married,3,mortgage,347,0.189447355,3,0,0.190084656,0,auto,0,20,11,1520,1774,97825,3250,3339.75,0.849841716,6,94575,0.237531,0.243825524,247.1198566,0.177893512,48.0,0
29,22756,568,employed,associate,6,21973,36,married,0,rent,302,0.135976099,7,0,0.150255915,0,education,0,19,17,901,2941,226221,11918,1896.333333,0.720857868,6,214303,0.222973,0.247460801,870.6944972,0.618401036,47.0,0
62,71729,522,employed,associate,40,31200,36,divorced,1,own,532,0.44675547,1,3,0.286469315,0,debt consolidation,0,18,15,16093,306,24362,21778,5977.416667,0.752366003,10,2584,0.2552,0.246219486,1234.276759,0.295491658,53.0,0
18,16158,583,employed,bachelor,0,33277,60,married,2,mortgage,631,0.305967416,3,2,0.180095041,0,auto,0,22,17,14834,198,15032,111941,1346.5,0.763886511,6,4869,0.246777,0.258343022,993.0672814,1.20613983,52.0,0
35,67123,570,employed,bachelor,14,25746,48,single,1,rent,440,0.138773032,1,1,0.24868244,0,debt consolidation,0,23,25,2825,668,36682,15561,5593.583333,0.869668843,3,21121,0.235746,0.233421968,830.0316543,0.22705153,51.0,0
50,90324,581,employed,high school,22,22468,60,married,4,mortgage,271,0.260082285,3,3,0.181989555,0,auto,0,23,5,6213,4256,30293,19623,7527.0,0.833241096,5,10670,0.236968,0.243954956,651.5267138,0.122562337,51.0,0
54,62707,636,employed,high school,33,24214,96,married,2,rent,767,0.422864504,3,0,0.248993111,0,education,0,28,17,2863,1546,27849,58726,5225.583333,0.709062756,6,7772,0.241214,0.217904983,534.7213562,0.249105463,50.0,0
51,54149,626,employed,master,32,30438,60,married,1,own,597,0.04715989,1,0,0.145558274,0,other,0,20,29,1562,269,103704,65165,4512.416667,0.581107372,7,38539,0.222438,0.214640656,831.4158487,0.316552294,46.0,0
29,31473,527,employed,bachelor,4,21217,36,married,0,other,221,0.225143299,4,0,0.226497655,1,home,0,24,1,1452,883,106814,22949,2622.75,0.788890093,7,83865,0.242717,0.232559726,824.1374841,0.398489175,67.0,0
37,30209,530,employed,associate,13,29777,96,divorced,0,own,554,0.214994494,2,2,0.177449485,0,home,0,22,2,218,1080,147066,46291,2517.416667,0.962154444,5,100775,0.299777,0.322082224,867.449339,0.564646035,51.0,0
51,16455,528,employed,high school,27,34742,36,married,0,own,353,0.28850884,2,0,0.288124017,0,debt consolidation,0,19,23,7906,980,107636,44988,1371.25,0.741889001,4,62648,0.255742,0.27735514,1432.094057,1.301800588,52.0,0
34,31763,530,employed,high school,12,24147,36,married,1,mortgage,281,0.192267388,1,0,0.597695078,0,auto,1,20,20,14930,4507,30972,13256,2646.916667,0.652260811,2,17716,0.244147,0.206888538,905.8868271,0.448403549,64.0,0
47,33277,652,employed,associate,26,59973,36,married,1,rent,966,0.119133682,2,2,0.176543689,0,education,0,24,23,4741,921,27578,47459,2773.083333,0.918357057,2,6551,0.218973,0.218806027,2286.693306,1.172951879,44.0,0
24,101122,533,employed,high school,1,66350,60,divorced,2,rent,497,0.449002428,3,2,0.174780774,0,debt consolidation,0,28,19,1023,1381,415119,100284,8426.833333,0.73678968,2,314835,0.30485,0.320004575,2228.884784,0.323476765,44.0,0
30,32710,594,employed,high school,6,19954,12,married,0,other,366,0.251602463,3,1,0.038903959,0,auto,0,26,1,3169,2158,12398,56859,2725.833333,0.851883595,4,1503,0.187954,0.174032317,1823.720221,0.803321389,55.0,0
51,73459,617,employed,master,29,40596,96,single,1,mortgage,269,0.15983819,2,0,0.273569826,0,debt consolidation,0,23,28,6899,532,38894,30240,6121.583333,0.774085276,2,8654,0.267096,0.258875715,1005.329186,0.208169867,48.0,0
54,15000,656,employed,associate,32,26534,60,single,3,rent,399,0.310576418,2,0,0.22935701,0,debt consolidation,0,29,27,9383,1790,177998,6535,1250.0,0.824429925,3,171463,0.203534,0.196611833,697.9958144,0.877596652,44.0,0
45,23167,540,employed,high school,19,36272,48,divorced,0,own,689,0.30964997,2,1,0.330886489,0,home,0,28,17,9379,2712,109968,37999,1930.583333,0.708576239,5,71969,0.261272,0.274194214,1252.136298,1.005466205,54.0,0
23,41485,498,employed,high school,0,19068,12,divorced,1,other,494,0.106083379,1,1,0.326899846,0,debt consolidation,1,21,25,8388,2977,101539,262171,3457.083333,0.829057873,7,1522,0.235068,0.214224491,1779.361733,0.657595294,60.0,0
51,55942,671,employed,master,27,17652,48,single,0,rent,291,0.204524383,4,2,0.153375903,0,home,0,23,28,1050,473,77058,54781,4661.833333,0.574654789,4,22277,0.177152,0.193851889,531.3915265,0.176409465,44.0,0
45,25100,487,employed,associate,19,48592,36,married,3,other,733,0.363884056,1,1,0.155026408,1,home,0,32,16,1752,201,66229,5101,2091.666667,0.804697577,5,61128,0.290092,0.2320736,1886.238485,1.252225571,62.0,0
38,32459,550,employed,bachelor,16,20654,60,married,2,rent,280,0.273723748,2,0,0.126106621,0,debt consolidation,0,26,1,1774,2027,52792,19614,2704.916667,0.611090789,4,33178,0.250654,0.274623086,636.3961079,0.338789035,55.0,0
38,51627,628,employed,bachelor,14,25894,36,married,1,rent,389,0.327611871,3,0,0.423613102,0,home,0,21,13,3367,7573,16970,16449,4302.25,0.740924271,4,9253,0.196894,0.203203428,966.5455361,0.315078281,53.0,0
40,53202,469,employed,high school,17,19409,96,married,2,rent,518,0.239320347,4,2,0.175508433,0,auto,0,24,18,3420,1474,20029,55235,4433.5,0.757263824,8,2030,0.319909,0.338213262,587.8089929,0.249421223,50.0,0
29,28020,602,unemployed,associate,4,66136,12,married,1,other,307,0.359951875,1,1,0.051048356,0,education,0,19,8,2444,7171,17789,5042,2335.0,0.675062481,5,12747,0.230136,0.213308083,6168.67761,2.773309469,53.0,0
30,93220,581,employed,high school,8,19200,60,married,1,rent,223,0.20964604,2,2,0.579006725,0,education,0,26,20,1963,684,109986,70760,7768.333333,0.717671306,5,39226,0.2337,0.235713936,547.5787327,0.099194859,57.0,0
35,33319,607,employed,master,17,25882,48,divorced,0,own,242,0.216484192,2,0,0.408214271,0,auto,0,24,27,4518,426,19311,49851,2776.583333,0.795815625,4,5173,0.217382,0.198025379,784.8782464,0.369835198,54.0,0
33,82927,500,employed,associate,10,16651,48,married,5,other,637,0.211389926,2,1,0.11020955,0,home,0,20,6,3857,1329,18545,38906,6910.583333,0.846893276,5,8270,0.261651,0.298444136,598.029973,0.178715734,51.0,0
55,15000,574,employed,master,32,24473,120,married,0,rent,413,0.283278836,6,0,0.518759025,0,other,1,23,1,6154,494,147255,47754,1250.0,0.882779475,4,99501,0.292473,0.32969705,699.4424971,0.889953998,68.0,0
36,45999,562,employed,high school,13,36934,48,single,1,rent,551,0.4169763,1,1,0.418797212,0,education,0,18,9,2296,3298,16427,9627,3833.25,0.840994082,4,6800,0.250934,0.249405466,1223.400973,0.462897273,59.0,0
32,64220,577,employed,associate,12,15425,96,married,0,mortgage,610,0.218924912,2,2,0.479704028,0,auto,1,25,4,1661,1115,48833,33818,5351.666667,0.906441232,4,15015,0.261925,0.269764942,393.3025734,0.187474788,65.0,0
46,87147,624,unemployed,high school,23,18571,72,single,3,own,1222,0.472235085,4,0,0.334321891,0,debt consolidation,1,23,11,3603,3890,69648,37618,7262.25,0.902942822,9,32030,0.221571,0.252495798,503.0981741,0.23754321,60.0,0
31,15953,531,self-employed,bachelor,6,10317,24,married,0,rent,503,0.184865337,7,1,0.064467274,0,debt consolidation,0,30,2,2569,559,15366,44348,1329.416667,0.680632075,4,8569,0.219817,0.245742474,548.4325581,0.790897681,58.0,0
35,38705,604,employed,bachelor,12,26770,72,married,1,rent,248,0.118846485,5,1,0.290851907,0,home,0,28,7,955,348,279417,62768,3225.416667,0.962476303,4,216649,0.23977,0.226785553,683.4507446,0.288784626,46.0,0
48,22115,614,employed,associate,28,17656,60,single,4,other,314,0.073976563,4,1,0.092219551,0,auto,1,27,2,6196,503,104351,28712,1842.916667,0.881230782,5,75639,0.215656,0.254774612,523.1808309,0.454269499,56.0,0
52,84051,580,employed,high school,28,15325,96,married,5,mortgage,367,0.09595532,1,1,0.143461213,0,auto,0,25,6,4046,973,155081,36103,7004.25,0.883858059,3,118978,0.260325,0.273532935,394.672037,0.108744268,46.0,0
49,18641,630,employed,high school,28,33191,96,divorced,1,mortgage,652,0.391383237,4,0,0.164068585,0,education,0,33,24,7731,3356,181154,6327,1553.416667,0.919003288,4,174827,0.253191,0.267532135,841.2808159,0.96128801,45.0,0
39,15000,570,employed,high school,14,10551,60,married,1,own,517,0.255431957,4,1,0.412460585,0,auto,0,16,8,477,867,380400,57705,1250.0,0.805502845,2,322695,0.230551,0.226875461,295.5466385,0.650037311,53.0,0
26,26935,409,employed,high school,2,27782,36,single,3,own,630,0.335436125,2,2,0.253153983,0,debt consolidation,0,23,2,4369,1844,62812,36135,2244.583333,0.575277451,3,26677,0.308282,0.306120197,1188.721929,0.810271511,58.0,0
56,42911,550,employed,high school,33,21669,48,married,4,mortgage,312,0.164460022,1,2,0.082717561,0,education,0,20,21,880,2465,123738,38710,3575.916667,0.945072971,4,85028,0.241669,0.260239277,730.9120589,0.291648871,48.0,0
46,20776,623,employed,associate,24,26900,60,widowed,5,own,908,0.367829814,1,2,0.186780991,0,debt consolidation,0,27,27,1901,2317,78163,54782,1731.333333,0.645769264,5,23381,0.2204,0.217899467,739.7396494,0.951717164,49.0,0
50,74096,541,unemployed,bachelor,25,17928,48,married,0,own,392,0.350699429,1,2,0.265907781,1,education,0,30,10,8220,918,55827,6597,6174.666667,0.954207022,2,49230,0.242428,0.264714557,609.2488125,0.16215431,67.0,0
68,65506,638,employed,associate,44,13387,84,single,1,rent,628,0.166208596,0,0,0.653962889,1,auto,0,25,26,2738,551,105160,23621,5458.833333,0.897321274,5,81539,0.219387,0.24912058,338.0945156,0.176978203,64.0,0
41,32478,599,employed,high school,18,31543,36,divorced,1,rent,721,0.26470773,4,0,0.558798146,0,other,0,32,5,31613,5427,291879,39701,2706.5,0.848605812,8,252178,0.217043,0.21020031,1188.709083,0.705600991,55.0,0
44,69616,626,employed,associate,24,29213,48,divorced,0,rent,970,0.234938989,3,3,0.046388168,0,education,0,27,17,1644,1499,69056,8010,5801.333333,0.709458288,7,61046,0.211213,0.2534556,974.2580275,0.335139858,45.0,0
29,60985,507,employed,bachelor,6,40294,36,divorced,2,rent,533,0.289866171,4,0,0.09753471,0,home,0,21,20,2471,768,161818,28906,5082.083333,0.983844087,8,132912,0.271794,0.265769047,1635.878711,0.426769608,46.0,0
39,121006,524,employed,associate,16,29227,36,single,3,mortgage,598,0.748993811,6,1,0.25159251,0,debt consolidation,1,25,9,12800,1180,33879,7561,10083.83333,0.890141942,7,26318,0.252227,0.257657298,1173.929623,0.175719844,59.0,0
45,24265,562,employed,bachelor,23,17336,84,single,3,own,725,0.425782105,3,0,0.105371551,0,auto,0,26,23,2828,1710,276124,18092,2022.083333,0.822623723,3,258032,0.261336,0.255920415,445.3860817,0.578802101,47.0,0
35,42285,586,employed,bachelor,11,25761,36,married,0,own,117,0.465674797,4,1,0.079363402,0,other,0,18,14,2407,426,12096,4702,3523.75,0.955891878,7,7394,0.217761,0.2613132,1039.729603,0.328266649,52.0,0
53,28838,644,employed,high school,35,22775,24,divorced,2,mortgage,413,0.262396291,5,1,0.495208683,0,debt consolidation,0,17,28,4950,832,27901,102131,2403.166667,0.650767381,5,2290,0.175775,0.172974498,1129.305355,0.641780438,55.0,0
51,40534,592,employed,high school,32,25755,72,divorced,1,rent,736,0.289189225,5,0,0.358480035,0,auto,0,24,4,6521,4241,513221,42161,3377.833333,0.615752868,4,471060,0.244755,0.256639665,704.2969936,0.426396702,52.0,0
40,32366,566,employed,high school,21,33659,12,single,4,mortgage,625,0.140033247,3,1,0.5447012,0,other,0,27,10,6321,2298,94522,2674,2697.166667,0.910788087,8,91848,0.215659,0.223558801,3156.061047,1.401864072,56.0,0
54,26424,542,employed,master,31,53427,60,married,4,mortgage,292,0.0702246,2,0,0.159201233,0,education,0,24,12,3156,2427,55602,70296,2202.0,0.72375161,10,7634,0.287427,0.292693564,1704.644689,0.906741457,51.0,0
18,94249,492,employed,bachelor,0,29582,60,widowed,2,mortgage,599,0.275248395,4,1,0.31144713,0,education,0,29,4,6976,494,28751,14123,7854.083333,0.871838371,7,14628,0.288582,0.321159375,995.8789824,0.20306367,56.0,0
55,99572,515,employed,master,32,21038,72,divorced,2,own,265,0.52470396,5,0,0.518240403,0,home,0,17,26,7233,530,40586,93337,8297.666667,0.588501273,3,5423,0.278538,0.3342456,680.0678141,0.113895611,58.0,0
55,25806,608,employed,high school,33,26757,72,single,2,mortgage,915,0.201075169,3,1,0.436407578,0,education,0,25,12,1654,1837,68629,4690,2150.5,0.836561194,8,63939,0.237757,0.250437306,721.4762115,0.760974755,53.0,0
33,15000,590,employed,bachelor,10,20174,108,married,5,rent,303,0.129390466,3,1,0.309862831,0,other,0,28,2,5526,456,21391,21173,1250.0,0.881054013,6,10592,0.270174,0.227696923,440.6675828,0.594934066,59.0,0
31,101761,550,employed,bachelor,7,67435,60,married,3,mortgage,540,0.323496255,3,3,0.131743874,0,home,0,28,24,4193,2660,184964,10958,8480.083333,0.745936522,3,174006,0.297435,0.28231286,2109.063366,0.312386478,45.0,0
60,70031,625,employed,bachelor,39,37995,72,divorced,0,rent,713,0.355019996,1,0,0.267487903,0,debt consolidation,0,21,3,874,1394,8634,46079,5835.916667,0.83968925,5,5847,0.240495,0.251236424,1026.362595,0.298044454,52.0,0
40,67732,611,employed,master,18,23833,96,married,2,own,739,0.331916457,3,1,0.260594662,0,home,0,20,16,1392,422,14917,31526,5644.333333,0.673293137,4,6557,0.253333,0.245894869,569.6327951,0.231848957,49.0,0
36,15661,632,employed,master,12,22930,84,married,2,own,239,0.069866881,3,0,0.05047569,0,home,0,21,14,7918,2799,80058,16888,1305.083333,0.990050415,4,63170,0.23193,0.239544844,565.1566751,0.616172665,46.0,0
33,35006,456,employed,master,10,26129,108,divorced,4,mortgage,396,0.217662435,2,1,0.093769408,0,home,0,23,29,3867,343,284040,63003,2917.166667,0.884541666,5,221037,0.343129,0.30555385,712.4601884,0.379978354,47.0,0
18,41914,520,employed,associate,0,19045,12,single,2,mortgage,305,0.271609243,3,3,0.564870845,0,home,0,29,24,5034,2854,37805,87744,3492.833333,0.843770395,6,4740,0.224045,0.258194524,1817.698723,0.607729748,59.0,0
50,82585,483,employed,master,26,44016,72,single,2,rent,406,0.383049923,0,0,0.12881486,0,debt consolidation,0,22,7,3073,735,109936,43441,6882.083333,0.826545906,9,66495,0.317516,0.320445064,1382.734875,0.25991183,48.0,0
40,30117,616,employed,high school,20,12622,48,married,4,own,394,0.282432684,4,1,0.368006995,0,other,0,33,23,1867,21035,77380,21863,2509.75,0.849145343,5,55517,0.199622,0.216549267,395.3088965,0.31449702,50.0,0
41,60518,522,employed,high school,19,34185,12,married,1,own,567,0.487209827,7,3,0.02179924,0,other,0,22,12,2981,2110,77556,105392,5043.166667,0.743938714,5,4542,0.238185,0.257454735,3261.465374,0.759139173,51.0,0
22,44308,491,employed,high school,0,46639,48,single,3,mortgage,376,0.031860777,3,1,0.096043654,0,other,0,28,11,4497,274,173156,80468,3692.333333,0.647430504,5,92688,0.296139,0.277464307,1618.709401,0.540230045,48.0,0
51,20468,508,self-employed,high school,28,20792,60,single,2,mortgage,187,0.321587979,3,0,0.17126982,0,education,0,22,6,692,582,69195,1849,1705.666667,0.865086401,5,67346,0.271792,0.28934051,659.1424148,0.496077241,55.0,0
32,16843,586,employed,master,8,26177,72,married,2,mortgage,354,0.498595097,4,1,0.19431473,0,auto,1,24,8,947,554,55347,14957,1403.583333,0.796746058,7,40390,0.248177,0.23830192,686.4615601,0.741289481,60.0,0
43,27975,609,employed,associate,21,26578,36,single,0,other,275,0.156987043,4,1,0.236882454,0,other,0,28,3,16164,166,202220,24905,2331.25,0.763720601,3,177315,0.207078,0.190717807,975.2085411,0.536282484,49.0,0
40,96726,619,self-employed,associate,16,28378,120,married,3,mortgage,643,0.457624399,2,2,0.368371552,0,home,0,19,5,9076,1391,113911,66017,8060.5,0.510882196,1,47894,0.273878,0.300142652,748.3939894,0.172618819,56.0,0
58,32381,546,unemployed,high school,32,34294,24,married,3,mortgage,286,0.452868721,3,2,0.162746183,0,debt consolidation,0,25,20,6678,7288,119084,388431,2698.416667,0.889675239,5,4008,0.236294,0.273038706,1870.202765,0.799062203,55.0,0
23,15706,570,unemployed,master,0,29279,60,married,3,rent,556,0.243549806,3,0,0.140932168,0,education,0,40,4,4199,739,140557,68340,1308.833333,0.562702229,5,72217,0.249279,0.296917794,941.7394791,1.144331704,56.0,0
42,32030,509,employed,associate,20,25956,60,single,2,mortgage,284,0.181587583,4,2,0.205335544,0,auto,0,18,18,2346,396,14311,22525,2669.166667,0.935440983,4,9630,0.276456,0.246028587,755.81149,0.389564092,52.0,0
